,0,1,2,3
0,10 LED Projects for Geeks,"Build Light-Up Costumes, Sci-Fi Gadgets, and Other Clever Inventions",By John Baichtal,$24.95
1,20 Easy Raspberry Pi Projects,"Toys, Tools, Gadgets, and More!",By Rui Santos and Sara Santos,$24.95
2,A Beginner's Guide to 3D Modeling,A Guide to Autodesk Fusion 360,By Cameron Coward,$24.95
3,A Beginner's Guide to Circuits,"Nine Simple Projects with Lights, Sounds, and More!",By Øyvind Nydal Dahl,$17.95
4,Arduino Inventor's Guide,Learn Electronics by Making 10 Awesome Projects,By Brian Huang and Derek Runberg,$29.95
5,Arduino Playground,Geeky Projects for the Experienced Maker,By Warren Andrews,$29.95
6,Arduino Project Handbook,25 Practical Projects to Get You Started,By Mark Geddes,$24.95
7,"Arduino Project Handbook, Vol. 2",25 Simple Electronics Projects for Beginners,By Mark Geddes,$24.95
8,"Arduino Workshop, 2nd Edition",A Hands-On Introduction with 65 Projects,By John Boxall,$34.99
9,AVR Workshop,A Hands-On Introduction with Over 55 Projects,By John Boxall,$44.99
10,Electronics for Kids,Play with Simple Circuits and Experiment with Electricity!,By Øyvind Nydal Dahl,$24.95
11,"Field Expedient SDR, Volume One	",,By Paul Clark and David Clark,$24.99
12,Game Boy Modding,"A Beginner's Guide to Game Boy Mods, Collecting, History, and More!",By Greg Farrell,$24.95
13,Homemade Robots,10 Simple Bots to Build with Stuff Around the House,By Randy Sarafan,$17.99
14,Inside the Machine,An Illustrated Introduction to Microprocessors and Computer Architecture,By Jon Stokes,$49.95
15,Junkyard Jam Band,DIY Musical Instruments and Noisemakers,By David Erik Nelson,$24.95
16,Learn Robotics with Raspberry Pi,"Build and Code Your Own Moving, Sensing, Thinking Robots",By Matt Timmons-Brown,$24.95
17,LEGO MINDSTORMS Robot Inventor Idea Book,128 Simple Machines and Clever Contraptions,By Yoshihito Isogawa,$34.99
18,Maker's Guide to the Zombie Apocalypse,"Defend Your Base with Simple Circuits, Arduino, and Raspberry Pi",By Simon Monk,$24.95
19,Micro:bit for Mad Scientists,30 Clever Coding and Electronics Projects for Kids,By Simon Monk,$24.95
20,Practical IoT Hacking,The Definitive Guide to Attacking the Internet of Things,"By Fotios Chantzis, Ioannis Stais, Paulino Calderon, Evangelos Deirmentzoglou, Beau Woods",$49.99
21,Raspberry Pi Projects for Kids,"Create an MP3 Player, Mod Minecraft, Hack Radio Waves, and More!",By Dan Aldred,$24.95
22,"Snip, Burn, Solder, Shred",Seriously Geeky Stuff to Make with Your Kids,By David Erik Nelson,$24.95
23,The Book of I²C,A Guide for Adventurers,By Randall Hyde,$49.99
24,The Game Console 2.0, A Photographic History from Atari to Xbox,By Evan Amos,$39.99
25,The Hardware Hacking Handbook,Breaking Embedded Security with Hardware Attacks,By Colin O'Flynn and Jasper van Woudenberg,$49.99
26,The Manga Guide to Electricity,,"By Kazuhiro Fujitaki, Matsuda, and Trend-Pro Co, Ltd.",$19.95
27,The Manga Guide to Microprocessors,,"By Michio Shibuya, Takashi Tonagi, and Office Sawa",$24.95
