,0,1,2,3
0,Algorithmic Thinking,A Problem-Based Introduction,By Daniel Zingaro,$49.95
1,An Artist's Guide to Programming,,By Jim Parker,$34.99
2,"Art of Assembly Language, 2nd Edition",,By Randall Hyde,$59.95
3,Art of Debugging,"with GDB, DDD, and Eclipse",By Norman Matloff and Peter Jay Salzman,$39.95
4,Art of R Programming,A Tour of Statistical Software Design,By Norman Matloff,$39.95
5,"Automate the Boring Stuff with Python, 2nd Edition",Practical Programming for Total Beginners,By Al Sweigart,$39.95
6,"Autotools, 2nd Edition","A Practitioner's Guide to GNU Autoconf, Automake, and Libtool",By John Calcote,$49.95
7,Bare Metal C,Embedded Programming for the Real World,By Stephen Oualline,$49.99
8,Beyond the Basic Stuff with Python,Best Practices for Writing Clean Code,By Al Sweigart,$34.99
9,Black Hat Go,Go Programming for Hackers and Pentesters,"By Tom Steele, Chris Patten, and Dan Kottmann",$39.95
10,"Black Hat Python, 2nd Edition",Python Programming for Hackers and Pentesters,By Justin Seitz and Tim Arnold,$44.99
11,"Book of CSS3, 2nd Edition",A Developer's Guide to the Future of Web Design,By Peter Gasston,$34.95
12,Book of F#,Breaking Free with Managed Functional Programming,By Dave Fancher,$44.95
13,Book of R,A First Course in Programming and Statistics,By Tilman M. Davies,$49.95
14,Book of Ruby,A Hands-On Guide for the Adventurous,By Huw Collingbourne,$39.95
15,Build an HTML5 Game,A Developer's Guide with CSS and JavaScript,By Karl Bunyan,$29.95
16,C++ Crash Course,A Fast-Paced Introduction,By Josh Lospinoso,$59.95
17,Clojure for the Brave and True,Learn the Ultimate Language and Become a Better Programmer,By Daniel Higginbotham,$34.95
18,Code Craft,The Practice of Writing Excellent Code,By Pete Goodliffe,$44.95
19,Coding in the Classroom,Why You Should Care About Teaching Computer Science,By Ryan Somma,$19.95
20,Coding iPhone Apps for Kids,A Playful Introduction to Swift,By Gloria Winquist and Matt McCarthy,$29.95
21,Coding with Minecraft,"Build Taller, Farm Faster, Mine Deeper, and Automate the Boring Stuff",By Al Sweigart,$29.95
22,Computer Graphics from Scratch,A Programmer's Introduction to 3D Rendering,By Gabriel Gambetta,$49.99
23,Cracking Codes with Python,An Introduction to Building and Breaking Ciphers,By Al Sweigart,$29.95
24,Data Science for Business People,,By Bradford Tuckfield,$39.99
25,Data Structures the Fun Way,From Binary Search to QuadTrees in 100 Cups of Coffee,By Jeremy Kubica,$29.99
26,Data Visualization with JavaScript,,By Stephen A. Thomas,$39.95
27,Deep Learning: A Visual Approach,,By Andrew Glassner,$99.99
28,Dive Into Algorithms,A Pythonic Adventure for the Intrepid Beginner,By Bradford Tuckfield,$39.95
29,Dive Into Systems,A Gentle Introduction to Computer Systems,"By Suzanne J. Matthews, Tia Newhall, and Kevin C. Webb",$59.99
30,Doing Math with Python,"Use Programming to Explore Algebra, Statistics, Calculus, and More!",By Amit Saha,$29.95
31,Effective C,An Introduction to Professional C Programming,By Robert C. Seacord,$49.95
32,"Eloquent JavaScript, 3rd Edition",A Modern Introduction to Programming,By Marijn Haverbeke,$39.95
33,Functional Programming for Physics Geeks,,By Scott Walck,$49.99
34,Game Hacking,Developing Autonomous Bots for Online Games,By Nick Cano,$44.95
35,GNU Make Book,,By John Graham-Cumming,$34.95
36,Gray Hat Python,Python Programming for Hackers and Reverse Engineers,By Justin Seitz,$39.95
37,Hardcore Programming for Mechanical Engineers,Build Engineering Applications from Scratch,By Angel Sola Orbaiceta,$59.99
38,Hello Web Design,Design Fundamentals and Shortcuts for Non-Designers,By Tracy Osborn,$24.99
39,How Computers Really Work,A Hands-On Guide to the Inner Workings of the Machine,By Matthew Justice,$39.95
40,If Hemingway Wrote JavaScript,,By Angus Croll,$19.95
41,Impractical Python Projects,Playful Programming Activities to Make You Smarter,By Lee Vaughan,$29.95
42,"Invent Your Own Computer Games with Python, 4th Edition",,By Al Sweigart,$29.95
43,JavaScript Crash Course,,By Nick Morgan,$34.99
44,JavaScript for Kids,A Playful Introduction to Programming,By Nick Morgan,$34.95
45,Land of Lisp,"Learn to Program in Lisp, One Game at a Time!","By Conrad Barski, M.D.",$49.95
46,Learn Java the Easy Way,A Hands-On Introduction to Programming,By Bryson Payne,$29.95
