,0,1,2,3
0,"Automate the Boring Stuff with Python, 2nd Edition",Practical Programming for Total Beginners,By Al Sweigart,$39.95
1,Beyond the Basic Stuff with Python,Best Practices for Writing Clean Code,By Al Sweigart,$34.99
2,"Black Hat Python, 2nd Edition",Python Programming for Hackers and Pentesters,By Justin Seitz and Tim Arnold,$44.99
3,Cracking Codes with Python,An Introduction to Building and Breaking Ciphers,By Al Sweigart,$29.95
4,Data Science for Business People,,By Bradford Tuckfield,$39.99
5,Dive Into Algorithms,A Pythonic Adventure for the Intrepid Beginner,By Bradford Tuckfield,$39.95
6,Doing Math with Python,"Use Programming to Explore Algebra, Statistics, Calculus, and More!",By Amit Saha,$29.95
7,Doing Science with Python,"An Introduction to Coding, Anaconda, JupyterLab, and the Scientific Libraries ",By Lee Vaughan,$49.99
8,Gray Hat Python,Python Programming for Hackers and Reverse Engineers,By Justin Seitz,$39.95
9,Hardcore Programming for Mechanical Engineers,Build Engineering Applications from Scratch,By Angel Sola Orbaiceta,$59.99
10,Impractical Python Projects,Playful Programming Activities to Make You Smarter,By Lee Vaughan,$29.95
11,"Invent Your Own Computer Games with Python, 4th Edition",,By Al Sweigart,$29.95
12,Learn Python Visually,Creative Coding with Processing.py,By Tristan Bunn,$49.99
13,Learn to Code by Solving Problems,A Python Programming Primer,By Daniel Zingaro,$34.99
14,Learn to Program with Minecraft,Transform Your World with the Power of Python,By Craig Richardson,$29.95
15,Make Python Talk,Build Apps with Voice Control and Speech Recognition,By Mark Liu,$39.99
16,Math Adventures with Python,An Illustrated Guide to Exploring Math with Code,By Peter Farrell,$29.95
17,Mission Python,Code a Space Adventure Game!,By Sean McManus,$29.95
18,Modeling and Simulation in Python,Use Computation to Predict and Explain the World,By Allen B. Downey,$39.99
19,Natural Language Processing with Python and spaCy,A Practical Introduction,By Yuli Vasiliev,$39.95
20,Object-Oriented Python,Master OOP by Building Games and GUIs,By Irv Kalb,$44.99
21,Practical Deep Learning,A Python-Based Introduction,By Ronald T. Kneusel,$59.95
22,"Python Crash Course, 2nd Edition","A Hands-On, Project-Based Introduction to Programming",By Eric Matthes,$39.95
23,"Python Crash Course, 3rd Edition","A Hands-On, Project-Based Introduction to Programming",By Eric Matthes,$44.99
24,Python Dash,,"By Adam Schroeder, Christian Mayer, and Ann Marie Ward",$34.99
25,Python Flash Cards,"Syntax, Concepts, and Examples",By Eric Matthes,$27.95
26,Python for Data Science,A Hands-On Introduction,By Yuli Vasiliev,$29.99
27,Python for Kids,A Playful Introduction to Programming,By Jason R. Briggs,$34.95
28,"Python for Kids, 2nd Edition",A Playful Introduction to Programming,By Jason R. Briggs,$34.99
29,Python One-Liners,"Write Concise, Eloquent Python Like a Professional",By Christian Mayer,$39.95
30,Python Playground,Geeky Projects for the Curious Programmer,By Mahesh Venkitachalam,$29.95
31,Real-World Python,A Hacker's Guide to Solving Problems with Code,By Lee Vaughan,$34.95
32,Serious Python,"Black-Belt Advice on Deployment, Scalability, Testing, and More ",By Julien Danjou,$34.95
33,Teach Your Kids to Code,A Parent-Friendly Guide to Python Programming,By Bryson Payne,$29.95
34,The Art of Clean Code,Best Practices to Eliminate Complexity and Simplify Your Life,By Christian Mayer,$29.99
35,The Big Book of Small Python Projects,81 Easy Practice Programs,By Al Sweigart,$39.99
36,The Recursive Book of Recursion,Ace the Coding Interview with Python and JavaScript,By Al Sweigart,$39.99
