,0,1,2,3
0,A Bug Hunter's Diary,A Guided Tour Through the Wilds of Software Security,By Tobias Klein,$39.95
1,Android Security Internals,An In-Depth Guide to Android's Security Architecture,By Nikolay Elenkov,$49.95
2,Attacking Network Protocols,"A Hacker's Guide to Capture, Analysis, and Exploitation",By James Forshaw,$49.95
3,Black Hat Go,Go Programming for Hackers and Pentesters,"By Tom Steele, Chris Patten, and Dan Kottmann",$39.95
4,"Black Hat Python, 2nd Edition",Python Programming for Hackers and Pentesters,By Justin Seitz and Tim Arnold,$44.99
5,"Book of PF, 3rd Edition",A No-Nonsense Guide to the OpenBSD Firewall,By Peter N. M. Hansteen,$34.95
6,Bug Bounty Bootcamp,The Guide to Finding and Reporting Web Vulnerabilities,By Vickie Li,$49.99
7,Car Hacker's Handbook,A Guide for the Penetration Tester,By Craig Smith,$49.95
8,Codebreaking,A Practical Guide,By Elonka Dunin and Klaus Schmeh,$29.99
9,Crypto Dictionary,500 Tasty Tidbits for the Curious Cryptographer,By Jean-Philippe Aumasson,$24.99
10,Cyberjutsu,Cybersecurity for the Modern Ninja,By Ben McCarty,$29.99
11,Designing BSD Rootkits,An Introduction to Kernel Hacking,By Joseph Kong,$29.95
12,Designing Secure Software,A Guide for Developers,By Loren Kohnfelder,$49.99
13,Ethical Hacking,A Hands-on Introduction to Breaking In,By Daniel G. Graham,$49.99
14,Foundations of Information Security,A Straightforward Introduction,By Jason Andress,$39.95
15,Game Hacking,Developing Autonomous Bots for Online Games,By Nick Cano,$44.95
16,Go H*ck Yourself,A Simple Introduction to Cyber Attacks and Defense,By Bryson Payne,$29.99
17,Gray Hat C#,A Hacker's Guide to Creating and Automating Security Tools,By Brandon Perry,$39.95
18,Gray Hat Python,Python Programming for Hackers and Reverse Engineers,By Justin Seitz,$39.95
19,Hacking APIs,Breaking Web Application Programming Interfaces ,By Corey Ball,$59.99
20,Hacking VoIP,"Protocols, Attacks, and Countermeasures",By Himanshu Dwivedi,$44.95
21,"Hacking, 2nd Edition",The Art of Exploitation,By Jon Erickson,$49.95
22,How Cybersecurity Really Works,A Hands-On Guide for Total Beginners,By Sam Grubb,$24.99
23,How to Hack Like a Ghost,Breaching the Cloud,By Sparc Flow,$34.99
24,How to Hack Like a Legend,Breaking Windows,By Sparc Flow,$29.99
