,0,1,2,3
0,Book of GNS3,"Build Virtual Network Labs Using Cisco, Juniper, and More",By Jason C. Neumann,$39.95
1,Book of IMAP,Building a Mail Server with Courier and Cyrus,By Peer Heinlein and Peer Hartleben,$49.95
2,"Book of PF, 3rd Edition",A No-Nonsense Guide to the OpenBSD Firewall,By Peter N. M. Hansteen,$34.95
3,"Cisco Routers for the Desperate, 2nd Edition","Router and Switch Management, the Easy Way",By Michael W. Lucas,$24.95
4,Designing BSD Rootkits,An Introduction to Kernel Hacking,By Joseph Kong,$29.95
5,DevOps for the Desperate, A Hands-On Survival Guide,By Bradley Smith,$29.99
6,Kill It with Fire,Manage Aging Computer Systems (and Future Proof Modern Ones),By Marianne Bellotti,$19.99
7,Linux Firewalls,"Attack Detection and Response with iptables, psad, and fwsnort",By Michael Rash,$49.95
8,"Nagios, 2nd Edition",System and Network Monitoring,By Wolfgang Barth,$59.95
9,Network Flow Analysis,,By Michael W. Lucas,$39.95
10,Network Know-How,An Essential Guide for the Accidental Admin,By John Ross,$29.95
11,Network Programming with Go,Code Secure and Reliable Network Services from Scratch,By Adam Woodbeck,$49.99
12,PowerShell for Sysadmins,Workflow Automation Made Easy,By Adam Bertram,$29.95
13,Practical Doomsday,A User's Guide to the End of the World,By Michal Zalewski,$24.99
14,"Practical Packet Analysis, 3rd Edition",Using Wireshark to Solve Real-World Network Problems,By Chris Sanders,$49.95
15,TCP/IP Guide ,"A Comprehensive, Illustrated Internet Protocols Reference",By Charles M. Kozierok,$99.95
16,The Book of Kubernetes,A Hands-on Deep Dive into Container Technology,By Alan Hohn,$59.99
17,"Wicked Cool Shell Scripts, 2nd Edition","101 Scripts for Linux, OS X, and UNIX Systems",By Dave Taylor and Brandon Perry ,$34.95
